高管姓名,性别,年龄,股票代码,职位,:LABEL,PersonId:ID
古汉宁,男,25,600537,董事,人,1000393
徐进章,男,62,600537,独立董事,人,1000394
陈文化,男,52,600537,独立董事,人,1000395
刘平春,男,63,600537,独立董事,人,1000396
赵洪波,男,49,600864,"董事长,董事",人,1000397
张凯臣,男,54,600864,"副董事长,董事",人,1000398
孙名扬,男,61,600864,董事,人,1000399
张宪军,男,44,600864,董事,人,1000400
莫健闻,男,39,600864,董事,人,1000401
姜明玉,女,50,600864,董事,人,1000402
李延喜,男,48,600864,独立董事,人,1000403
高建国,男,46,600864,独立董事,人,1000404
韩红,女,52,600864,独立董事,人,1000405
张志华,男,54,601019,"董事长,董事",人,1000406
王次忠,男,55,601019,"副董事长,董事",人,1000407
胡鹏,男,58,601019,董事,人,1000408
迟云,男,56,601019,董事,人,1000409
王昭顺,男,57,601019,董事,人,1000410
徐向艺,男,62,601019,独立董事,人,1000411
胡元木,男,64,601019,独立董事,人,1000412
刘燕,女,52,601019,独立董事,人,1000413
孙忠义,男,64,002696,"董事长,董事",人,1000414
欧顺明,男,43,002696,董事,人,1000415
蔡晶,女,60,002696,董事,人,1000416
王琦,男,45,002696,董事,人,1000417
王运生,男,50,002696,独立董事,人,1000418
高程海,男,39,002696,独立董事,人,1000419
江虹锐,女,34,002696,独立董事,人,1000420
刘毅,男,58,600258,"董事长,董事",人,1000421
孙坚,男,54,600258,董事,人,1000422
张润钢,男,59,600258,董事,人,1000423
梁建章,男,49,600258,董事,人,1000424
沈南鹏,男,51,600258,董事,人,1000425
白凡,男,49,600258,董事,人,1000426
卢长才,男,45,600258,董事,人,1000427
包卫东,男,49,600258,独立董事,人,1000428
韩青,男,48,600258,独立董事,人,1000429
姚志斌,男,66,600258,独立董事,人,1000430
朱剑岷,男,50,600258,独立董事,人,1000431
梅慎实,男,54,600258,独立董事,人,1000432
陈嘉明,男,56,900925,"董事长,董事",人,1000433
范秉勋,男,72,900925,"副董事长,董事",人,1000434
朱茜,女,54,900925,董事,人,1000435
袁建平,男,58,900925,董事,人,1000436
傅海鹰,男,55,900925,董事,人,1000437
张艳,女,43,900925,董事,人,1000438
桂水发,男,53,900925,独立董事,人,1000439
李志强,男,51,900925,独立董事,人,1000440
薛爽,女,47,900925,独立董事,人,1000441
付红玲,女,49,300304,"董事长,董事",人,1000442
蔡承儒,男,45,300304,董事,人,1000443
李成忠,男,45,300304,董事,人,1000444
杨庄生,男,54,300304,董事,人,1000445
闫瑞,女,40,300304,董事,人,1000446
张晶,女,45,300304,董事,人,1000447
袁孟,男,37,300304,独立董事,人,1000448
束哲民,男,54,300304,独立董事,人,1000449
祝伟,男,47,300304,独立董事,人,1000450
雷升逵,男,52,600608,"董事长,董事",人,1000451
黎兴宏,男,42,600608,"副董事长,董事",人,1000452
蒋炜,男,43,600608,董事,人,1000453
金炜,男,55,600608,董事,人,1000454
许哨,男,58,600608,董事,人,1000455
李红斌,男,51,600608,独立董事,人,1000456
苏建明,男,68,600608,独立董事,人,1000457
周立,男,52,600608,独立董事,人,1000458
杜少华,男,57,000701,"董事长,董事",人,1000459
欧阳哲,男,42,000701,董事,人,1000460
黄立红,男,60,000701,董事,人,1000461
陈舸,男,49,000701,董事,人,1000462
郭聪明,男,53,000701,董事,人,1000463
吴晓强,男,40,000701,董事,人,1000464
童锦治,女,55,000701,独立董事,人,1000465
郑学军,男,56,000701,独立董事,人,1000466
薛祖云,男,55,000701,独立董事,人,1000467
龚伟斌,男,48,300241,"董事长,董事",人,1000468
刘智,男,35,300241,董事,人,1000469
吴强,男,44,300241,董事,人,1000470
胡建华,男,36,300241,董事,人,1000471
张会生,男,53,300241,董事,人,1000472
杨燕风,男,51,300241,董事,人,1000473
叶剑生,男,44,300241,独立董事,人,1000474
罗桃,女,48,300241,独立董事,人,1000475
刘召军,男,39,300241,独立董事,人,1000476
尤友岳,男,,002229,"董事长,董事",人,1000477
尤丽娟,女,,002229,"副董事长,董事",人,1000478
尤友鸾,男,46,002229,"副董事长,董事",人,1000479
李云强,男,,002229,董事,人,1000480
周美妹,女,,002229,董事,人,1000481
许萍,女,47,002229,独立董事,人,1000482
洪波,男,59,002229,独立董事,人,1000483
胡穗华,女,56,002229,独立董事,人,1000484
张锦文,男,46,002679,"董事长,董事",人,1000485
蔡清楼,男,51,002679,"副董事长,董事",人,1000486
周文刚,男,49,002679,董事,人,1000487
潘隆应,男,47,002679,董事,人,1000488
李芳,男,46,002679,董事,人,1000489
郑丽华,女,43,002679,董事,人,1000490
王吓忠,男,54,002679,独立董事,人,1000491
郑溪欣,男,41,002679,独立董事,人,1000492
张火根,男,50,002679,独立董事,人,1000493
陈洪民,男,64,603161,"董事长,董事",人,1000494
宗楼,男,40,603161,董事,人,1000495
陈小华,男,41,603161,董事,人,1000496
周宏峰,男,37,603161,董事,人,1000497
李备战,男,49,603161,独立董事,人,1000498
任永平,男,55,603161,独立董事,人,1000499
刘榕,男,69,603161,独立董事,人,1000500
王耀方,男,65,002550,"董事长,董事",人,1000501
赵刚,男,53,002550,"副董事长,董事",人,1000502
王轲,男,35,002550,董事,人,1000503
蒋文群,女,50,002550,董事,人,1000504
刘军,男,51,002550,董事,人,1000505
荣幸华,女,57,002550,独立董事,人,1000506
邵蓉,女,56,002550,独立董事,人,1000507
张继稳,男,53,002550,独立董事,人,1000508
杨焰,男,56,002100,"董事长,董事",人,1000509
成辉,男,53,002100,董事,人,1000510
郭运江,男,48,002100,董事,人,1000511
耿立新,男,51,002100,董事,人,1000512
徐振华,男,50,002100,董事,人,1000513
吴向勇,男,45,002100,董事,人,1000514
杨立芳,女,54,002100,独立董事,人,1000515
剡根强,男,60,002100,独立董事,人,1000516
边新俊,男,54,002100,独立董事,人,1000517
史一兵,男,56,300168,"董事长,董事",人,1000518
潘政,男,58,300168,"副董事长,董事",人,1000519
李光亚,男,45,300168,董事,人,1000520
杨玲,女,46,300168,董事,人,1000521
朱洪超,男,59,300168,独立董事,人,1000522
李柏龄,男,64,300168,独立董事,人,1000523
